timestamp, bears, fish
Sun Feb 14 01:04:34 2016,3,38
Sun Feb 14 01:04:34 2016,3,38
Sun Feb 14 01:04:34 2016,3,38
Sun Feb 14 01:04:34 2016,3,39
Sun Feb 14 01:04:34 2016,3,39
Sun Feb 14 01:04:34 2016,3,39
Sun Feb 14 01:04:34 2016,3,40
Sun Feb 14 01:04:34 2016,3,40
Sun Feb 14 01:04:34 2016,3,40
Sun Feb 14 01:04:34 2016,3,40
Sun Feb 14 01:04:34 2016,3,39
Sun Feb 14 01:04:34 2016,3,39
Sun Feb 14 01:04:34 2016,3,40
Sun Feb 14 01:04:34 2016,3,40
Sun Feb 14 01:04:34 2016,3,40
Sun Feb 14 01:04:34 2016,3,41
Sun Feb 14 01:04:34 2016,3,40
Sun Feb 14 01:04:34 2016,3,40
Sun Feb 14 01:04:34 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,41
Sun Feb 14 01:04:35 2016,3,41
Sun Feb 14 01:04:35 2016,3,41
Sun Feb 14 01:04:35 2016,3,41
Sun Feb 14 01:04:35 2016,3,41
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,41
Sun Feb 14 01:04:35 2016,3,41
Sun Feb 14 01:04:35 2016,3,41
Sun Feb 14 01:04:35 2016,3,41
Sun Feb 14 01:04:35 2016,3,41
Sun Feb 14 01:04:35 2016,3,41
Sun Feb 14 01:04:35 2016,3,41
Sun Feb 14 01:04:35 2016,3,41
Sun Feb 14 01:04:35 2016,3,41
Sun Feb 14 01:04:35 2016,3,41
Sun Feb 14 01:04:35 2016,3,41
Sun Feb 14 01:04:35 2016,3,41
Sun Feb 14 01:04:35 2016,3,41
Sun Feb 14 01:04:35 2016,3,41
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,41
Sun Feb 14 01:04:35 2016,3,41
Sun Feb 14 01:04:35 2016,3,41
Sun Feb 14 01:04:35 2016,3,41
Sun Feb 14 01:04:35 2016,3,41
Sun Feb 14 01:04:35 2016,3,41
Sun Feb 14 01:04:35 2016,3,41
Sun Feb 14 01:04:35 2016,3,41
Sun Feb 14 01:04:35 2016,3,41
Sun Feb 14 01:04:35 2016,3,41
Sun Feb 14 01:04:35 2016,3,41
Sun Feb 14 01:04:35 2016,3,41
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,39
Sun Feb 14 01:04:35 2016,3,39
Sun Feb 14 01:04:35 2016,3,39
Sun Feb 14 01:04:35 2016,3,39
